ReceiverID,Amount
0,{%!f(string=f9b99f4fb24249298ef0edb7b1cbcdacf478f9635930acaec1e5edbc829c6a39) 10.000000}
1,{%!f(string=06d2eab24fba56ec2abb7a00108237da637a2ca8302eff4ffe00b923ff4ed476) 10.000000}
2,{%!f(string=d23523299b01e3b9807633b0d019281bd7033ac904d9d63c037a9d585c1f5020) 85.000000}
3,{%!f(string=3f2dc7702a4d2277c7fdb83d6cb6472d8748727d6992e303c501e2a2bbbee111) 85.000000}
4,{%!f(string=46e2ec589ae9a0e9cf484120bf742e3bdbd72e6f07e2c2d69e0576951e9b7a03) 55.000000}
5,{%!f(string=09efa63692c120af83ae1193f51b242e7a92791af882630906f4191fd85919fd) 55.000000}
